Período,Sorotipo,Casos,Ano,CasosExtrap,Porcentagem
2022-04,1,5478,2022-06,335929.0,88.96
2022-05,1,3610,2022-06,290652.0,85.91
2022-05,2,588,2022-06,47342.0,13.99
2022-05,3,2,2022-06,161.0,0.05
2022-05,4,2,2022-06,161.0,0.05
2022-06,1,945,2022-06,97139.0,74.94
2022-06,2,315,2022-06,32380.0,24.98
2022-06,4,1,2022-06,103.0,0.08
2022-07,4,1,2022-06,105.0,0.17
2022-07,1,390,2022-06,41033.0,65.0
2022-07,2,209,2022-06,21990.0,34.83
2022-08,1,284,2022-06,27363.0,68.11
2022-08,2,131,2022-06,12622.0,31.42
2022-08,4,2,2022-06,193.0,0.48
2022-09,1,185,2022-06,21677.0,87.68
2022-09,2,25,2022-06,2929.0,11.85
2022-09,4,1,2022-06,117.0,0.47
2022-10,4,1,2022-06,51.0,0.25
